Bag,Sect,Depth top [m],Depth bot [m],Depth ice/snow [m],Grains [#] (Fabric Analyzer G50 (FA)),Grain size mean [pixel] (Fabric Analyzer G50 (FA)),"Sum vector norm (sum_vector_norm, Fabric Analy...)",Pref orient [%] (Fabric Analyzer G50 (FA)),Pref orient [%] (Weighted),Conc param (Fabric Analyzer G50 (FA)),Conc param (Weighted),Spherical apt [deg] (Fabric Analyzer G50 (FA)),Spherical apt [deg] (Weighted),EVA1 (Fabric Analyzer G50 (FA)),EVA1 (Weighted),EVA2 (Fabric Analyzer G50 (FA)),EVA2 (Weighted),EVA3 (Fabric Analyzer G50 (FA)),EVA3 (Weighted),Woodcock param (Fabric Analyzer G50 (FA)),Woodcock param (Weighted),Grain area [mm**2] (Fabric Analyzer G50 (FA))
1247,4,685.58,685.67,685.62,799,14899,0.584091,16.8183,35.5638,2.40437,3.09996,65.7888,53.4391,0.0132578,0.0105373,0.428435,0.450759,0.558308,0.538704,0.0761812,0.0474527,5.9596
1247,5,685.67,685.76,685.71,466,25648,0.744272,48.8544,24.2683,3.91041,2.63523,45.6564,60.5955,0.0165429,0.0151402,0.36217,0.450564,0.621287,0.534296,0.174871,0.0502333,10.2592
1247,6,685.76,685.85,685.8,605,14616,0.71646,43.292,26.674,3.52684,2.72304,48.855,58.983,0.0101052,0.0127633,0.394938,0.474308,0.594956,0.512929,0.111782,0.0216527,5.8464
1276,1,701.25,701.34,701.3,894,7425,0.738541,47.7082,30.3459,3.82469,2.86812,46.3136,56.6218,0.00825196,0.00772661,0.36488,0.388616,0.626868,0.603657,0.142821,0.11241,2.97
1276,2,701.34,701.43,701.39,929,11417,0.801735,60.347,51.9192,5.04375,4.15518,39.0285,43.9298,0.0139827,0.0111199,0.287895,0.347996,0.698122,0.640884,0.292847,0.177339,4.5668
1276,3,701.43,701.53,701.48,699,16756,0.768889,53.7777,46.1188,4.32692,3.70656,42.8335,47.2704,0.0122334,0.0107151,0.336194,0.388093,0.651573,0.601192,0.199697,0.121928,6.7024
1276,4,701.53,701.62,701.57,943,11836,0.799306,59.8612,46.8334,4.98271,3.75777,39.3127,46.8479,0.0120329,0.00973895,0.293248,0.376828,0.694719,0.613433,0.270087,0.133296,4.7344
1276,5,701.62,701.71,701.66,989,10889,0.772287,54.4573,48.1428,4.39149,3.85285,42.4427,46.0944,0.0111854,0.00954914,0.319908,0.360932,0.668906,0.629519,0.219957,0.153147,4.3556
1276,6,701.71,701.8,701.75,872,12418,0.74117,48.2341,47.2045,3.86354,3.78386,46.012,46.6373,0.0117367,0.0137376,0.364738,0.368243,0.623525,0.61802,0.156035,0.157446,4.9672
1315,1,722.7,722.79,722.75,550,7845,0.702284,40.4568,33.7452,3.3589,3.01316,50.5016,54.5589,0.0168817,0.0141164,0.442812,0.399015,0.540306,0.586869,0.060911,0.115452,3.138
